"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_COUNTRY","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME",
0.00,12143,"HKG","HK",11298,"DFW","Dallas/Fort Worth, TX",
0.00,12143,"HKG","HK",12478,"JFK","New York, NY",
0.00,12143,"HKG","HK",12892,"LAX","Los Angeles, CA",
0.00,12143,"HKG","HK",12917,"LCK","Columbus, OH",
0.00,12143,"HKG","HK",13303,"MIA","Miami, FL",
0.00,12143,"HKG","HK",13930,"ORD","Chicago, IL",
0.00,12266,"IAH","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,12266,"IAH","US",14115,"PIK","Glasgow/Prestwick, United Kingdom",
0.00,12339,"IND","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,12478,"JFK","US",11874,"GDL","Guadalajara, Mexico",
0.00,12478,"JFK","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,12478,"JFK","US",13252,"MEX","Mexico City, Mexico",
0.00,12478,"JFK","US",13744,"NRT","Tokyo, Japan",
0.00,12739,"KMQ","JP",13930,"ORD","Chicago, IL",
0.00,12832,"KUL","MY",13930,"ORD","Chicago, IL",
0.00,12892,"LAX","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,12892,"LAX","US",13560,"MXP","Milan, Italy",
0.00,12892,"LAX","US",14115,"PIK","Glasgow/Prestwick, United Kingdom",
0.00,12917,"LCK","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,13113,"LUX","LU",10397,"ATL","Atlanta, GA",
0.00,13113,"LUX","LU",11298,"DFW","Dallas/Fort Worth, TX",
0.00,13113,"LUX","LU",12266,"IAH","Houston, TX",
0.00,13113,"LUX","LU",12339,"IND","Indianapolis, IN",
0.00,13113,"LUX","LU",12478,"JFK","New York, NY",
0.00,13113,"LUX","LU",12892,"LAX","Los Angeles, CA",
0.00,13113,"LUX","LU",13303,"MIA","Miami, FL",
0.00,13113,"LUX","LU",13930,"ORD","Chicago, IL",
0.00,13113,"LUX","LU",14747,"SEA","Seattle, WA",
0.00,13303,"MIA","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,13930,"ORD","US",10971,"CGO","Zhengzhou, China",
0.00,13930,"ORD","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,13930,"ORD","US",13560,"MXP","Milan, Italy",
0.00,14115,"PIK","GB",12892,"LAX","Los Angeles, CA",
0.00,14115,"PIK","GB",14747,"SEA","Seattle, WA",
0.00,14747,"SEA","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,14747,"SEA","US",14115,"PIK","Glasgow/Prestwick, United Kingdom",
0.00,14771,"SFO","US",13113,"LUX","Luxembourg, Luxembourg",
0.00,14824,"SIN","SG",13930,"ORD","Chicago, IL",
0.00,15917,"XMN","CN",12892,"LAX","Los Angeles, CA",
0.00,10397,"ATL","US",14309,"PVG","Shanghai, China",
0.00,12892,"LAX","US",14309,"PVG","Shanghai, China",
0.00,13930,"ORD","US",14309,"PVG","Shanghai, China",
0.00,14309,"PVG","CN",10397,"ATL","Atlanta, GA",
0.00,14309,"PVG","CN",12892,"LAX","Los Angeles, CA",
0.00,14309,"PVG","CN",13930,"ORD","Chicago, IL",
0.00,11061,"CMB","LK",12917,"LCK","Columbus, OH",
0.00,12067,"HAN","VN",12917,"LCK","Columbus, OH",
0.00,12917,"LCK","US",11548,"EMA","Derby, United Kingdom",
0.00,12917,"LCK","US",11760,"FRA","Frankfurt, Germany",
0.00,10299,"ANC","US",12277,"ICN","Seoul, South Korea",
0.00,10299,"ANC","US",12277,"ICN","Seoul, South Korea",
0.00,10397,"ATL","US",12277,"ICN","Seoul, South Korea",
0.00,10397,"ATL","US",12277,"ICN","Seoul, South Korea",
0.00,11298,"DFW","US",11874,"GDL","Guadalajara, Mexico",
0.00,11298,"DFW","US",12277,"ICN","Seoul, South Korea",
0.00,12277,"ICN","KR",10299,"ANC","Anchorage, AK",
0.00,12277,"ICN","KR",10299,"ANC","Anchorage, AK",
0.00,12277,"ICN","KR",10397,"ATL","Atlanta, GA",
0.00,12277,"ICN","KR",10397,"ATL","Atlanta, GA",
0.00,12277,"ICN","KR",11298,"DFW","Dallas/Fort Worth, TX",
0.00,12277,"ICN","KR",12478,"JFK","New York, NY",
0.00,12277,"ICN","KR",12892,"LAX","Los Angeles, CA",
0.00,12277,"ICN","KR",12892,"LAX","Los Angeles, CA",
0.00,12277,"ICN","KR",13303,"MIA","Miami, FL",
0.00,12277,"ICN","KR",13303,"MIA","Miami, FL",
0.00,12277,"ICN","KR",13930,"ORD","Chicago, IL",
0.00,12277,"ICN","KR",13930,"ORD","Chicago, IL",
0.00,12277,"ICN","KR",14747,"SEA","Seattle, WA",
0.00,12277,"ICN","KR",14771,"SFO","San Francisco, CA",
0.00,12478,"JFK","US",12277,"ICN","Seoul, South Korea",
0.00,12478,"JFK","US",12277,"ICN","Seoul, South Korea",
0.00,12892,"LAX","US",12277,"ICN","Seoul, South Korea",
0.00,12892,"LAX","US",12277,"ICN","Seoul, South Korea",
0.00,12986,"LIM","PE",12892,"LAX","Los Angeles, CA",
0.00,13303,"MIA","US",12277,"ICN","Seoul, South Korea",
0.00,13303,"MIA","US",14717,"SCL","Santiago, Chile",
0.00,13303,"MIA","US",15567,"VCP","Sao Paulo, Brazil",
0.00,13930,"ORD","US",12277,"ICN","Seoul, South Korea",
0.00,13930,"ORD","US",12277,"ICN","Seoul, South Korea",
0.00,14309,"PVG","CN",12478,"JFK","New York, NY",
0.00,14717,"SCL","CL",12892,"LAX","Los Angeles, CA",
0.00,14747,"SEA","US",12277,"ICN","Seoul, South Korea",
0.00,14747,"SEA","US",12277,"ICN","Seoul, South Korea",
0.00,14771,"SFO","US",12277,"ICN","Seoul, South Korea",
0.00,15567,"VCP","BR",12892,"LAX","Los Angeles, CA",
0.00,10482,"GYD","AZ",13930,"ORD","Chicago, IL",
0.00,13930,"ORD","US",10482,"GYD","Baku, Azerbaijan",
0.00,11298,"DFW","US",15092,"SYD","Sydney, Australia",
0.00,12478,"JFK","US",10244,"AKL","Auckland, New Zealand",
0.00,12478,"JFK","US",15092,"SYD","Sydney, Australia",
0.00,12892,"LAX","US",10244,"AKL","Auckland, New Zealand",
0.00,12892,"LAX","US",15092,"SYD","Sydney, Australia",
0.00,13930,"ORD","US",10244,"AKL","Auckland, New Zealand",
0.00,13930,"ORD","US",15092,"SYD","Sydney, Australia",
0.00,14309,"PVG","CN",12478,"JFK","New York, NY",
0.00,14309,"PVG","CN",12892,"LAX","Los Angeles, CA",
0.00,14309,"PVG","CN",13930,"ORD","Chicago, IL",
0.00,10711,"BOG","CO",13303,"MIA","Miami, FL",
0.00,10711,"BOG","CO",14843,"SJU","San Juan, PR",
0.00,13218,"MDE","CO",13303,"MIA","Miami, FL",
0.00,13303,"MIA","US",10486,"BAQ","Barranquilla, Colombia",
0.00,13303,"MIA","US",10711,"BOG","Bogota, Colombia",
0.00,13303,"MIA","US",11052,"CLO","Cali, Colombia",
0.00,13303,"MIA","US",13218,"MDE","Medellin, Colombia",
0.00,10397,"ATL","US",16858,"IST","Istanbul, Turkey",
0.00,12266,"IAH","US",16858,"IST","Istanbul, Turkey",
0.00,16858,"IST","TR",10397,"ATL","Atlanta, GA",
0.00,16858,"IST","TR",12266,"IAH","Houston, TX",
0.00,16858,"IST","TR",12478,"JFK","New York, NY",
0.00,16858,"IST","TR",13303,"MIA","Miami, FL",
0.00,16858,"IST","TR",13930,"ORD","Chicago, IL",
0.00,12478,"JFK","US",16858,"IST","Istanbul, Turkey",
0.00,13303,"MIA","US",16858,"IST","Istanbul, Turkey",
0.00,13930,"ORD","US",16858,"IST","Istanbul, Turkey",
0.00,14309,"PVG","CN",13930,"ORD","Chicago, IL",
0.00,10397,"ATL","US",11760,"FRA","Frankfurt, Germany",
